ANO_ELEICAO,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_PARTIDO,COMPOSICAO_LEGENDA
2012,IGARACY,DEUSALEIDE JERONIMO LEITE,PSB,40,PDT / PMDB / DEM / PSB / PSDB / PSD
2012,ALAGOINHA,ALCIONE MARACAJÁ DE MORAIS BELTRÃO,PHS,31,PP / PT / PTB / PR / PPS / DEM / PSDC / PHS / PSB / PV / PSDB / PSD / PC do B
2012,ESPERANÇA,ANDERSON MONTEIRO COSTA,PSC,20,PRB / PP / PDT / PMDB / PSC / PR / DEM / PRTB / PMN / PV / PSDB
2012,DONA INÊS,ANTONIO JUSTINO DE ARAUJO NETO,PSB,40,PSB / PSDB / PSD
2012,CRUZ DO ESPÍRITO SANTO,PEDRO GOMES PEREIRA,PSD,55,PRB / PDT / PMDB / PR / PTC / PSDB / PSD
2012,ARARUNA,WILMA TARGINO MARANHÃO,PMDB,15,PRB / PMDB / PSC / PR / PRTB / PMN
2012,CAMPINA GRANDE,ROMERO RODRIGUES VEIGA,PSDB,45,PRB / PSL / PTN / DEM / PSB / PV / PRP / PSDB / PSD / PT do B
2012,PEDRA BRANCA,JOSÉ DE ANCHIETA NOIA,PTB,14,PRB / PT / PTB / PSB / PSD
2012,LUCENA,MARCELO SALES DE MENDONÇA,PSB,40,PR / PPS / DEM / PSB / PSDB / PSD / PC do B
2012,SOLEDADE,FLAVIO AURELIANO DA SILVA NETO,PTN,19,PTN / DEM / PMN / PSB / PSDB / PSD / PC do B / PT do B
2012,PICUÍ,ACACIO ARAUJO DANTAS,DEM,25,PRB / PTB / PPS / DEM / PSB / PSDB / PSD / PT do B
2012,PILAR,VIRGINIA MARIA PEIXOTO VELLOSO BORGES,PP,11,PP / PT / PTB / PMDB / PSC / PR / PSB / PSDB
2012,LAGOA SECA,JOSÉ TADEU SALES DE LUNA,PSC,20,PT / PTB / PMDB / PSC / DEM / PSB
2012,ARAÇAGI,JOSE ALEXANDRINO PRIMO,DEM,25,PR / DEM / PSDC / PSDB / PT do B
2012,AREIA DE BARAÚNAS,VANDERLITA GUEDES PEREIRA,PSDB,45,DEM / PSB / PSDB
2012,GADO BRAVO,AUSTERLIANO EVALDO ARAUJO,PMDB,15,PRB / PMDB / DEM / PHS
2012,SERRA BRANCA,EDUARDO JOSÉ TORREÃO MOTA,PMDB,15,PMDB / PR / DEM / PMN
2012,GURINHÉM,TARCÍSIO SAULO DE PAIVA,PDT,12,PDT / PT / PMDB
2012,GURJÃO,RONALDO RAMOS DE QUEIROZ,PSC,20,PRB / PTB / PMDB / PSL / PSC / DEM / PSD / PT do B
2012,RIO TINTO,SEVERINA FERREIRA ALVES,PMDB,15,PT / PMDB / PR / DEM / PMN / PV / PC do B
2012,ALAGOA NOVA,KLEBER HERCULANO DE MORAES,PMDB,15,PT / PMDB
2012,SANTANA DOS GARROTES,ELIO RIBEIRO DE MORAIS,PT,13,PP / PT / PMDB / PSC
2012,POÇO DE JOSÉ DE MOURA,AURILEIDE EGIDIO DE MOURA,DEM,25,PP / PT / PMDB / PR / DEM / PSDB
2012,ALHANDRA,MARCELO RODRIGUES DA COSTA,PMDB,15,PT / PMDB / PT do B
2012,PAULISTA,SEVERINO PEREIRA DANTAS,PTB,14,PTB / PMDB / DEM
2012,GUARABIRA,ZENÓBIO TOSCANO DE OLIVEIRA,PSDB,45,PRB / PP / PDT / PTB / PTN / PPS / DEM / PRTB / PSB / PV / PRP / PSDB / PSD / PT do B
2012,QUEIMADAS,JACÓ MOREIRA MACIEL,PSD,55,PP / PT / PTN / PPS / PSDB / PSD
